groupcode,schoolname,GroupLeader,FirstName,LastName,age,Gender,eventcode,eventname,score
G005,"Maia Barrera El","Hanna Gould",Palmer,Alford,13,M,E015,"Softball Throw",4500
G005,"Maia Barrera El","Hanna Gould",Rigel,Harding,12,M,E002,"100 Meter Dash",32
G005,"Maia Barrera El","Hanna Gould",Rigel,Harding,12,M,E015,"Softball Throw",2700
G005,"Maia Barrera El","Hanna Gould",Solomon,Nunez,12,M,E003,"200 Meter Dash",56
G005,"Maia Barrera El","Hanna Gould",Solomon,Nunez,12,M,E015,"Softball Throw",4800
G005,"Maia Barrera El","Sigourney Mejia",Gloria,Clark,9,F,E002,"100 Meter Dash",24
G005,"Maia Barrera El","Sigourney Mejia",Gloria,Clark,9,F,E015,"Softball Throw",3700
G005,"Maia Barrera El","Sigourney Mejia",Hedwig,Farmer,10,F,E002,"100 Meter Dash",27
G005,"Maia Barrera El","Sigourney Mejia",Hedwig,Farmer,10,F,E015,"Softball Throw",2800
G005,"Maia Barrera El","Sigourney Mejia",Ivory,Wiley,10,F,E001,"50 Meter Dash",17
G005,"Maia Barrera El","Sigourney Mejia",Ivory,Wiley,10,F,E015,"Softball Throw",1500
G005,"Maia Barrera El","Sigourney Mejia",Melyssa,Long,10,F,E001,"50 Meter Dash",16
G005,"Maia Barrera El","Sigourney Mejia",Melyssa,Long,10,F,E015,"Softball Throw",1500
G005,"Maia Barrera El","Sigourney Mejia",Quail,Travis,11,F,E002,"100 Meter Dash",32
G005,"Maia Barrera El","Sigourney Mejia",Quail,Travis,11,F,E015,"Softball Throw",2000
G005,"Maia Barrera El","Sigourney Mejia",Regina,Ortiz,11,F,E001,"50 Meter Dash",17
G005,"Maia Barrera El","Sigourney Mejia",Regina,Ortiz,11,F,E015,"Softball Throw",1800
G005,"Maia Barrera El","Sigourney Mejia",Sydnee,Frost,9,F,E002,"100 Meter Dash",24
G005,"Maia Barrera El","Sigourney Mejia",Sydnee,Frost,9,F,E015,"Softball Throw",6200
G006,"Leonard Aguirre El","Macaulay Wilcox",Daphne,Blackwell,10,F,E001,"50 Meter Dash",16
G006,"Leonard Aguirre El","Macaulay Wilcox",Daphne,Blackwell,10,F,E015,"Softball Throw",3600
G006,"Leonard Aguirre El","Macaulay Wilcox",Haley,Jimenez,13,F,E001,"50 Meter Dash",17
G006,"Leonard Aguirre El","Macaulay Wilcox",Haley,Jimenez,13,F,E015,"Softball Throw",3000
G006,"Leonard Aguirre El","Macaulay Wilcox",Kaden,Fuller,12,F,E001,"50 Meter Dash",0
G006,"Leonard Aguirre El","Macaulay Wilcox",Kaden,Fuller,12,F,E015,"Softball Throw",4000
G006,"Leonard Aguirre El","Macaulay Wilcox",Karleigh,Parks,9,F,E099,"Olympic Town",0
G006,"Leonard Aguirre El","Macaulay Wilcox",Laurel,Schmidt,11,F,E001,"50 Meter Dash",19
G006,"Leonard Aguirre El","Macaulay Wilcox",Laurel,Schmidt,11,F,E015,"Softball Throw",2000
G006,"Leonard Aguirre El","Macaulay Wilcox",Rhiannon,Avila,9,F,E001,"50 Meter Dash",19
G006,"Leonard Aguirre El","Macaulay Wilcox",Rhiannon,Avila,9,F,E015,"Softball Throw",3500
G007,"Xavier Holland El","Robin Sheppard",Brenda,Willis,11,F,E002,"100 Meter Dash",23
G007,"Xavier Holland El","Robin Sheppard",Brenda,Willis,11,F,E015,"Softball Throw",5300
G007,"Xavier Holland El","Robin Sheppard",Brielle,Glover,12,F,E002,"100 Meter Dash",35
G007,"Xavier Holland El","Robin Sheppard",Brielle,Glover,12,F,E015,"Softball Throw",2600
G007,"Xavier Holland El","Robin Sheppard",Idona,Perez,12,F,E013,"Standing Long Jump",305
G007,"Xavier Holland El","Robin Sheppard",Idona,Perez,12,F,E015,"Softball Throw",4700
G007,"Xavier Holland El","Robin Sheppard",Kaden,Malone,11,F,E002,"100 Meter Dash",25
G007,"Xavier Holland El","Robin Sheppard",Kaden,Malone,11,F,E013,"Standing Long Jump",300
G007,"Xavier Holland El","Robin Sheppard",Lillian,Sheppard,13,F,E002,"100 Meter Dash",26
G007,"Xavier Holland El","Robin Sheppard",Lillian,Sheppard,13,F,E013,"Standing Long Jump",305
G007,"Xavier Holland El","Robin Sheppard",Lydia,Hooper,9,F,E002,"100 Meter Dash",22
G007,"Xavier Holland El","Robin Sheppard",Lydia,Hooper,9,F,E013,"Standing Long Jump",305
G007,"Xavier Holland El","Robin Sheppard",Madeson,Harrington,11,F,E013,"Standing Long Jump",503
G007,"Xavier Holland El","Robin Sheppard",Madeson,Harrington,11,F,E015,"Softball Throw",5500
G007,"Xavier Holland El","Robin Sheppard",Portia,Valencia,11,F,E002,"100 Meter Dash",11
G007,"Xavier Holland El","Robin Sheppard",Portia,Valencia,11,F,E013,"Standing Long Jump",403
G007,"Xavier Holland El","Robin Sheppard",Ruth,Oneil,11,F,E002,"100 Meter Dash",25
G007,"Xavier Holland El","Robin Sheppard",Ruth,Oneil,11,F,E013,"Standing Long Jump",304
G007,"Xavier Holland El","Robin Sheppard",September,Richard,12,F,E002,"100 Meter Dash",20
G007,"Xavier Holland El","Robin Sheppard",September,Richard,12,F,E015,"Softball Throw",3700
G008,"Jenna Guerra El","Ayanna Woods",Ferdinand,Caldwell,8,M,E098,"Young Athletes",0
G008,"Jenna Guerra El","Ayanna Woods",Ferdinand,Caldwell,8,M,E099,"Olympic Town",0
G008,"Jenna Guerra El","Ayanna Woods",Forrest,Hunter,10,M,E001,"50 Meter Dash",120
G008,"Jenna Guerra El","Ayanna Woods",Forrest,Hunter,10,M,E015,"Softball Throw",702
G008,"Jenna Guerra El","Ayanna Woods",Michael,Gates,9,M,E001,"50 Meter Dash",30
G008,"Jenna Guerra El","Ayanna Woods",Michael,Gates,9,M,E015,"Softball Throw",1000
G008,"Jenna Guerra El","Blythe Waters",Charlotte,Stafford,11,F,E001,"50 Meter Dash",20
G008,"Jenna Guerra El","Blythe Waters",Charlotte,Stafford,11,F,E015,"Softball Throw",1907
G008,"Jenna Guerra El","Blythe Waters",Ciara,Wiley,12,F,E001,"50 Meter Dash",32
G008,"Jenna Guerra El","Blythe Waters",Ciara,Wiley,12,F,E015,"Softball Throw",1102
G008,"Jenna Guerra El","Blythe Waters",Felicia,Hobbs,11,F,E001,"50 Meter Dash",16
G008,"Jenna Guerra El","Blythe Waters",Felicia,Hobbs,11,F,E015,"Softball Throw",2206
G008,"Jenna Guerra El","Blythe Waters",Kyra,Sparks,11,F,E001,"50 Meter Dash",17
G008,"Jenna Guerra El","Blythe Waters",Kyra,Sparks,11,F,E015,"Softball Throw",809
G008,"Jenna Guerra El","Blythe Waters",Sharon,Rodgers,11,F,E001,"50 Meter Dash",34
G008,"Jenna Guerra El","Blythe Waters",Sharon,Rodgers,11,F,E015,"Softball Throw",1203
G008,"Jenna Guerra El","Josiah Cohen",Ivory,Cook,10,F,E001,"50 Meter Dash",16
G008,"Jenna Guerra El","Josiah Cohen",Ivory,Cook,10,F,E015,"Softball Throw",1806
G008,"Jenna Guerra El","Josiah Cohen",Jada,Stevenson,11,F,E001,"50 Meter Dash",18
G008,"Jenna Guerra El","Josiah Cohen",Jada,Stevenson,11,F,E015,"Softball Throw",2900
G008,"Jenna Guerra El","Josiah Cohen",Kameko,Mccarty,12,F,E001,"50 Meter Dash",15
G008,"Jenna Guerra El","Josiah Cohen",Kameko,Mccarty,12,F,E015,"Softball Throw",3100
G008,"Jenna Guerra El","Josiah Cohen",Vivien,Tyler,12,F,E001,"50 Meter Dash",15
G008,"Jenna Guerra El","Josiah Cohen",Vivien,Tyler,12,F,E015,"Softball Throw",2700
G008,"Jenna Guerra El","MacKenzie Goodman",Abigail,Cantu,8,F,E099,"Olympic Town",0
G008,"Jenna Guerra El","MacKenzie Goodman",Cameron,Lambert,9,F,E002,"100 Meter Dash",206
G008,"Jenna Guerra El","MacKenzie Goodman",Cameron,Lambert,9,F,E014,"Shot Put",10
G008,"Jenna Guerra El","MacKenzie Goodman",Emi,Kennedy,9,F,E002,"100 Meter Dash",102
G008,"Jenna Guerra El","MacKenzie Goodman",Emi,Kennedy,9,F,E014,"Shot Put",201
G008,"Jenna Guerra El","MacKenzie Goodman",Irene,Head,9,F,E002,"100 Meter Dash",43
G008,"Jenna Guerra El","MacKenzie Goodman",Irene,Head,9,F,E014,"Shot Put",204
G008,"Jenna Guerra El","MacKenzie Goodman",Keely,Kirby,9,F,E002,"100 Meter Dash",0
G008,"Jenna Guerra El","MacKenzie Goodman",Keely,Kirby,9,F,E014,"Shot Put",100
G008,"Jenna Guerra El","MacKenzie Goodman",Kiona,Beasley,9,F,E002,"100 Meter Dash",539
G008,"Jenna Guerra El","MacKenzie Goodman",Kiona,Beasley,9,F,E014,"Shot Put",11
G008,"Jenna Guerra El","MacKenzie Goodman",Meredith,Coffey,9,F,E002,"100 Meter Dash",507
G008,"Jenna Guerra El","MacKenzie Goodman",Meredith,Coffey,9,F,E014,"Shot Put",306
G008,"Jenna Guerra El","Richard Hunt",Brianna,Conner,11,F,E001,"50 Meter Dash",17
G008,"Jenna Guerra El","Richard Hunt",Brianna,Conner,11,F,E015,"Softball Throw",1300
G008,"Jenna Guerra El","Richard Hunt",Dana,Downs,11,F,E001,"50 Meter Dash",19
G008,"Jenna Guerra El","Richard Hunt",Dana,Downs,11,F,E013,"Standing Long Jump",109
G008,"Jenna Guerra El","Richard Hunt",Ella,Francis,10,F,E002,"100 Meter Dash",40
G008,"Jenna Guerra El","Richard Hunt",Ella,Francis,10,F,E015,"Softball Throw",2100
G008,"Jenna Guerra El","Richard Hunt",Iona,Arnold,12,F,E001,"50 Meter Dash",17
G008,"Jenna Guerra El","Richard Hunt",Iona,Arnold,12,F,E015,"Softball Throw",2307
G008,"Jenna Guerra El","Richard Hunt",Joelle,Clark,11,F,E002,"100 Meter Dash",37
G008,"Jenna Guerra El","Richard Hunt",Joelle,Clark,11,F,E015,"Softball Throw",2100
G008,"Jenna Guerra El","Richard Hunt",Sandra,Solis,10,F,E001,"50 Meter Dash",25
G008,"Jenna Guerra El","Richard Hunt",Sandra,Solis,10,F,E015,"Softball Throw",708
G008,"Jenna Guerra El","Richard Hunt",Yeo,Dorsey,8,F,E098,"Young Athletes",0
G008,"Jenna Guerra El","Richard Hunt",Yeo,Dorsey,8,F,E099,"Olympic Town",0
G009,"Sydnee Tucker El","Dane Mayo",Amery,Holland,12,M,E001,"50 Meter Dash",54
G009,"Sydnee Tucker El","Dane Mayo",Amery,Holland,12,M,E013,"Standing Long Jump",205
G009,"Sydnee Tucker El","Dane Mayo",Cain,Cotton,9,M,E001,"50 Meter Dash",43
G009,"Sydnee Tucker El","Dane Mayo",Cain,Cotton,9,M,E013,"Standing Long Jump",300
G009,"Sydnee Tucker El","Dane Mayo",David,Cote,12,M,E002,"100 Meter Dash",45
G009,"Sydnee Tucker El","Dane Mayo",David,Cote,12,M,E013,"Standing Long Jump",306
G009,"Sydnee Tucker El","Dane Mayo",Hedley,Harris,9,M,E001,"50 Meter Dash",45
G009,"Sydnee Tucker El","Dane Mayo",Hedley,Harris,9,M,E013,"Standing Long Jump",303
G009,"Sydnee Tucker El","Dane Mayo",Marshall,Douglas,9,M,E099,"Olympic Town",0
G009,"Sydnee Tucker El","Dane Mayo",Omar,Rosario,9,M,E001,"50 Meter Dash",41
G009,"Sydnee Tucker El","Dane Mayo",Omar,Rosario,9,M,E013,"Standing Long Jump",208
G009,"Sydnee Tucker El","Dane Mayo",Oren,Little,12,M,E002,"100 Meter Dash",108
G009,"Sydnee Tucker El","Dane Mayo",Oren,Little,12,M,E013,"Standing Long Jump",305
G009,"Sydnee Tucker El","Dane Mayo",Ray,Roth,12,M,E001,"50 Meter Dash",51
G009,"Sydnee Tucker El","Dane Mayo",Ray,Roth,12,M,E013,"Standing Long Jump",302
G010,"Ramona Herring El","Griffith Campos",Acton,Mcintyre,9,M,E001,"50 Meter Dash",24
G010,"Ramona Herring El","Griffith Campos",Acton,Mcintyre,9,M,E015,"Softball Throw",1300
G010,"Ramona Herring El","Griffith Campos",Asher,Petersen,11,M,E001,"50 Meter Dash",13
G010,"Ramona Herring El","Griffith Campos",Asher,Petersen,11,M,E015,"Softball Throw",2300
G010,"Ramona Herring El","Griffith Campos",Caleb,Sutton,10,M,E001,"50 Meter Dash",20
G010,"Ramona Herring El","Griffith Campos",Caleb,Sutton,10,M,E015,"Softball Throw",1300
G010,"Ramona Herring El","Griffith Campos",Dylan,Simmons,11,M,E001,"50 Meter Dash",13
G010,"Ramona Herring El","Griffith Campos",Dylan,Simmons,11,M,E015,"Softball Throw",2000
G010,"Ramona Herring El","Griffith Campos",Gil,Matthews,13,M,E001,"50 Meter Dash",27
G010,"Ramona Herring El","Griffith Campos",Gil,Matthews,13,M,E015,"Softball Throw",500
G010,"Ramona Herring El","Griffith Campos",Gray,Meyers,9,M,E001,"50 Meter Dash",25
G010,"Ramona Herring El","Griffith Campos",Gray,Meyers,9,M,E015,"Softball Throw",1100
G010,"Ramona Herring El","Griffith Campos",Hoyt,Brennan,11,M,E001,"50 Meter Dash",13
G010,"Ramona Herring El","Griffith Campos",Hoyt,Brennan,11,M,E015,"Softball Throw",2100
G010,"Ramona Herring El","Griffith Campos",Jakeem,Cochran,12,M,E002,"100 Meter Dash",21
G010,"Ramona Herring El","Griffith Campos",Jakeem,Cochran,12,M,E015,"Softball Throw",4000
G010,"Ramona Herring El","Griffith Campos",Jonas,Rice,9,M,E001,"50 Meter Dash",22
G010,"Ramona Herring El","Griffith Campos",Jonas,Rice,9,M,E015,"Softball Throw",800
G010,"Ramona Herring El","Griffith Campos",Julian,Edwards,11,M,E001,"50 Meter Dash",30
G010,"Ramona Herring El","Griffith Campos",Julian,Edwards,11,M,E015,"Softball Throw",1000
G010,"Ramona Herring El","Griffith Campos",Kevin,Brennan,14,M,E002,"100 Meter Dash",23
G010,"Ramona Herring El","Griffith Campos",Kevin,Brennan,14,M,E015,"Softball Throw",3000
G010,"Ramona Herring El","Griffith Campos",Palmer,Reed,12,M,E001,"50 Meter Dash",20
G010,"Ramona Herring El","Griffith Campos",Palmer,Reed,12,M,E015,"Softball Throw",600
G010,"Ramona Herring El","Griffith Campos",Ray,Gay,12,M,E001,"50 Meter Dash",23
G010,"Ramona Herring El","Griffith Campos",Ray,Gay,12,M,E015,"Softball Throw",1200
G010,"Ramona Herring El","Griffith Campos",Rudyard,Rocha,11,M,E001,"50 Meter Dash",18
G010,"Ramona Herring El","Griffith Campos",Rudyard,Rocha,11,M,E015,"Softball Throw",1000
G010,"Ramona Herring El","Griffith Campos",Tyrone,Stephenson,10,M,E001,"50 Meter Dash",27
G010,"Ramona Herring El","Griffith Campos",Tyrone,Stephenson,10,M,E015,"Softball Throw",800
G010,"Ramona Herring El","Griffith Campos",Uriah,Walker,12,M,E001,"50 Meter Dash",12
G010,"Ramona Herring El","Griffith Campos",Uriah,Walker,12,M,E015,"Softball Throw",2400
G010,"Ramona Herring El","Griffith Campos",Vincent,Baird,9,M,E001,"50 Meter Dash",30
G010,"Ramona Herring El","Griffith Campos",Vincent,Baird,9,M,E015,"Softball Throw",1500
G010,"Ramona Herring El","Griffith Campos",Warren,Mcmahon,11,M,E001,"50 Meter Dash",19
G010,"Ramona Herring El","Griffith Campos",Warren,Mcmahon,11,M,E015,"Softball Throw",3500
G010,"Ramona Herring El","Griffith Campos",Wyatt,Weber,13,M,E001,"50 Meter Dash",19
G010,"Ramona Herring El","Griffith Campos",Wyatt,Weber,13,M,E015,"Softball Throw",1100
G011,"Nora Fernandez High","Adam Lynch",Colleen,Frost,13,F,E002,"100 Meter Dash",40
G011,"Nora Fernandez High","Adam Lynch",Colleen,Frost,13,F,E015,"Softball Throw",1500
G011,"Nora Fernandez High","Adam Lynch",Heather,Mullen,11,F,E001,"50 Meter Dash",40
G011,"Nora Fernandez High","Adam Lynch",Heather,Mullen,11,F,E015,"Softball Throw",1200
G011,"Nora Fernandez High","Adam Lynch",Jillian,Howe,10,F,E015,"Softball Throw",500
G011,"Nora Fernandez High","Adam Lynch",Jillian,Howe,10,F,E020,"25M Walk",39
G011,"Nora Fernandez High","Adam Lynch",Jordan,Mason,12,F,E002,"100 Meter Dash",39
G011,"Nora Fernandez High","Adam Lynch",Jordan,Mason,12,F,E015,"Softball Throw",1200
